Order_ID,Product,Category,Quantity,Price,City,Order_Date
5001,Coffee,Groceries,8.0,720.40,Chicago,2024-03-23
5002,Eggs,Groceries,8.0,403.78,Los Angeles,2024-01-22
5003,Mouse,Electronics,,999.77,Chicago,2024-03-04
5004,Laptop,Electronics,6.0,13.44,New York,2024-02-18
5005,Eggs,Groceries,3.0,462.04,Houston,2024-03-04
5006,Keyboard,Electronics,5.0,731.02,Miami,2024-03-13
5007,Bread,Groceries,4.0,1130.93,Chicago,2024-01-09
5008,Sofa,Furniture,2.0,,Houston,2024-03-11
5009,Keyboard,Electronics,1.0,314.24,Houston,2024-01-02
5010,Desk,Furniture,4.0,225.90,Chicago,2024-03-30
5020,Bread,Groceries,3.0,42.56,New York,2024-02-21
5011,Desk,Furniture,4.0,719.49,Houston,2024-03-02
5012,Headphones,Electronics,2.0,649.93,Chicago,2024-03-29
5013,Laptop,Electronics,1.0,23.69,,2024-03-28
5014,Monitor,Electronics,8.0,11.60,Los Angeles,2024-03-21
5015,Eggs,Groceries,1.0,729.12,Chicago,2024-02-10
5016,Milk,,8.0,542.09,New York,2024-02-17
5010,Desk,Furniture,4.0,225.90,Chicago,2024-03-30
5017,Apple,Groceries,3.0,711.60,Los Angeles,2024-02-04
5018,Keyboard,Electronics,5.0,1166.20,Los Angeles,2024-01-01
5019,Mouse,Electronics,7.0,926.31,Los Angeles,2024-01-09
5020,Bread,Groceries,3.0,42.56,New York,2024-02-21
