Square_Feet,Bedrooms,Age,Price
1660,4,6,369229
2094,4,8,424337
1930,5,7,410430
1895,3,11,377216
2438,1,33,391596
2969,4,32,520188
1266,2,47,208075
2038,4,22,391411
1130,2,23,236126
2282,2,36,384203
2935,4,34,508509
930,5,43,217902
2485,2,39,420990
1569,2,21,291792
3191,4,26,571149
2315,2,34,380136
3233,2,0,556246
2015,4,34,373183
1755,4,36,324150
3124,1,46,517036
1984,5,13,398637
1259,5,2,320998
821,2,0,196489
3100,5,4,580862
1547,2,25,290063
1274,1,13,228514
1882,4,38,347672
3358,4,26,586235
2847,4,8,520589
1775,5,14,369025
2606,1,14,452767
989,5,25,258399
1362,5,41,283882
2699,1,12,457008
2067,1,31,356420
2328,1,38,361935
1446,1,48,237280
2868,4,31,528945
3014,3,3,563750
2097,3,29,361150
3235,1,36,506623
1400,3,22,284686
3163,3,38,518231
2861,1,44,443467
1041,3,14,235777
2841,5,42,523163
3412,2,28,563345
2163,2,35,371619
2939,1,12,498974
2190,4,31,412934
