price,area,bedrooms,bathrooms,stories,parking
13300000,7420,4,2,3,2
12250000,8960,4,4,4,3
12250000,9960,3,2,2,2
12215000,7500,4,2,2,3
11410000,7420,4,1,2,2
10850000,7500,3,2,2,2
10150000,8580,4,3,4,2
10150000,16200,5,3,2,0
9870000,8100,4,1,2,2
9800000,5750,3,2,4,1
9450000,13200,3,1,2,2
9240000,6000,4,3,2,2
9100000,6550,4,2,2,1
8960000,7300,3,2,2,2
8890000,11460,3,1,3,2
8820000,6000,4,1,2,2
8750000,6600,4,2,2,1
8645000,8500,3,2,4,2
8575000,4600,3,2,2,2
8400000,6420,3,2,2,1
8295000,7155,3,1,2,2
8190000,7155,3,2,1,2
8080000,8050,3,1,1,1
7980000,4560,4,2,2,1
7910000,8800,3,2,2,2
7840000,6600,4,2,2,2
7770000,6000,3,2,4,0
7700000,8875,3,1,1,1
7630000,6325,3,1,2,2
7560000,5500,4,2,2,1
7490000,5850,3,1,2,2
7420000,4500,3,2,2,2
7350000,4000,3,1,2,1
7280000,5960,3,2,2,2
7210000,6840,3,1,2,1
7140000,4400,4,2,2,2
7070000,3520,3,1,1,2
7000000,3480,3,1,2,1
6930000,3180,3,1,2,2
6860000,5300,3,2,2,0
6790000,6540,3,1,1,2
6720000,6480,3,1,2,2
6650000,3970,3,1,2,0
6580000,4100,3,1,1,2
6510000,6000,3,2,4,1
6440000,6000,3,1,2,1
6370000,6450,3,2,2,1
6300000,5900,3,1,2,2
6230000,7440,3,1,1,0
6160000,6615,4,2,2,1
6090000,6000,3,2,2,1
6020000,5450,3,2,2,0
5950000,4000,3,1,2,2
5880000,4600,3,2,2,1
5810000,6000,3,2,2,1
5740000,4000,3,1,2,2
5670000,3450,3,1,2,1
5600000,3150,3,2,2,1
5530000,4500,3,2,2,1
5460000,4000,3,1,2,1
5390000,3000,3,2,2,2
5320000,3600,3,1,2,2
5250000,2850,3,2,2,1
5180000,6000,3,1,2,2
5110000,2400,3,1,1,0
5040000,3000,3,1,2,2
4970000,4120,2,1,1,1
4900000,3640,2,1,1,1
4830000,3500,2,1,2,1
4760000,3000,2,1,1,2
4690000,3850,3,1,2,0
4620000,3000,2,1,1,2
4550000,3180,2,1,1,2
4480000,4040,2,1,1,1
4410000,3520,2,1,1,2
4340000,2500,2,1,1,2
4270000,3120,3,1,2,0
4200000,3000,3,1,2,2
4130000,3210,3,1,2,0
4060000,3450,2,1,1,1
3990000,3000,2,1,2,0
3920000,3520,2,1,1,1
3850000,4000,2,1,1,2
3780000,3000,3,1,2,0
3710000,2145,3,1,2,0
3640000,2145,2,1,1,0
3570000,3630,2,1,1,0
3500000,2990,2,1,1,1
3430000,3185,2,1,1,2
3360000,3510,2,1,1,0
3290000,2610,3,1,2,0
3220000,3180,2,1,1,0
3150000,3000,2,1,1,0
3080000,3450,2,1,1,0
3010000,3000,2,1,1,2
2940000,2145,2,1,1,1
2870000,3600,2,1,1,0
2800000,3000,2,1,1,1
2730000,3150,2,1,1,0
2660000,3000,2,1,1,0
2590000,3000,2,1,1,0
2520000,3500,2,1,1,0
2450000,2400,2,1,1,0
2380000,3000,2,1,1,0
2310000,2610,2,1,1,0
2240000,3000,2,1,1,0
2170000,2145,2,1,1,0
2100000,3000,2,1,1,0
2030000,2400,2,1,1,0
1960000,2145,2,1,1,0
1890000,3000,2,1,1,0
1820000,2145,2,1,1,0
1750000,2400,2,1,1,0
